strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,2022 Return,2023+ CAGR,family,throttle,throttle_description,idle_asset
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,10.0,2023+,2023-01-03,2026-04-02,1.8816173907008018,0.3857111539677638,-0.3215211390262849,1.1455564757078178,1.6248772654019796,-0.053451497095371,0.7476164103458666,1.6686639840187714,2.2877635085492454,1.1420131080867713,0.45613414331643376,0.49386585668356636,0.05,,0.3857111539677638,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,0.0,Full Sample,2018-01-02,2026-04-02,2.9674572108131354,0.18189406668134556,-0.352043836749138,0.7927976737154556,0.6703174971213475,0.06952157906310866,0.026859407906467656,1.0450401674540344,1.0141318913584065,3.964539007896527,0.37197164385726905,0.6280283561427309,0.6280283561427309,-0.11756452831484454,0.19827037756744703,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,0.0,2018-2021,2018-01-02,2021-12-31,1.5001709423142588,0.25784987300241147,-0.352043836749138,0.9184942172568866,0.8282344945092385,0.05328689968153209,0.03321246752775352,1.2171288677319339,1.4529723611307221,4.934052430090124,0.4191893819862136,0.5808106180137864,0.5808106180137864,,,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,0.0,2022,2022-01-03,2022-12-30,-0.11756452831484454,-0.11886289330548838,-0.1312023896781671,-1.8184051759715867,0.037129131367456845,-0.11042089582075318,0.6984323532177448,0.0,0.18963671393966675,0.5503525005233149,0.017447319584787117,0.9825526804152128,0.9825526804152128,-0.11756452831484454,,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,0.0,2023+,2023-01-03,2026-04-02,0.7982894269915983,0.19827037756744703,-0.18341364679799643,0.9301147242073575,0.8853440170442837,-0.03202818474288276,-0.45917012421045994,1.0415888660794628,1.6795341663283023,3.8343727794041618,0.4227570737448972,0.5772429262551028,0.5772429262551028,,0.19827037756744703,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,5.0,Full Sample,2018-01-02,2026-04-02,2.90310578885242,0.17955266840126627,-0.35272014897806425,0.7848856758060024,0.6703142661293966,0.06753602240699268,0.01737401804152531,1.0423914605948816,1.018843559860872,3.964539007896527,0.37197164385726905,0.6280283561427309,0.6280283561427309,-0.11780526234174549,0.19597051230591078,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,5.0,2018-2021,2018-01-02,2021-12-31,1.4756725387183893,0.2547529305433116,-0.35272014897806425,0.9102549964038518,0.8281861891311088,0.05083614512149469,0.02220835397250668,1.214023606148514,1.4598335183326823,4.934052430090124,0.4191893819862136,0.5808106180137864,0.5808106180137864,,,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,5.0,2022,2022-01-03,2022-12-30,-0.11780526234174549,-0.11910610269592559,-0.13143940320947411,-1.8221448186817888,0.03713689629065071,-0.11069128304918369,0.6975688857966911,0.0,0.19002502842915886,0.5503525005233149,0.017447319584787117,0.9825526804152128,0.9825526804152128,-0.11780526234174549,,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,5.0,2023+,2023-01-03,2026-04-02,0.7871156594153967,0.19597051230591078,-0.18413954712157354,0.9213420020425895,0.8854486384247848,-0.03397957529231673,-0.4731940972883959,1.0389767297348245,1.6880010428223666,3.8343727794041618,0.4227570737448972,0.5772429262551028,0.5772429262551028,,0.19597051230591078,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,10.0,Full Sample,2018-01-02,2026-04-02,2.8397880211116378,0.17721553254836686,-0.3533959167878009,0.7769702930012565,0.6703110351374454,0.06555046575087671,0.007889233111722658,1.0397438255852198,1.0235529949188933,3.964539007896527,0.37197164385726905,0.6280283561427309,0.6280283561427309,-0.1180459556751765,0.1936747528612992,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,10.0,2018-2021,2018-01-02,2021-12-31,1.4514098544465628,0.2516630591923037,-0.3533959167878009,0.9020114213624296,0.8281378837529788,0.04838539056145731,0.011205061170945094,1.2109198590863866,1.466690120954303,4.934052430090124,0.4191893819862136,0.5808106180137864,0.5808106180137864,,,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,10.0,2022,2022-01-03,2022-12-30,-0.1180459556751765,-0.11934927019332786,-0.13167637667622056,-1.825872195481466,0.03714466121384458,-0.11096167027761421,0.6967052221784571,0.0,0.19041327727830837,0.5503525005233149,0.017447319584787117,0.9825526804152128,0.9825526804152128,-0.1180459556751765,,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
hybrid_tqqq_followup::ma60_half::cash,hybrid_tqqq_followup::ma60_half::cash,10.0,2023+,2023-01-03,2026-04-02,0.7760098321416897,0.1936747528612992,-0.18486489430163922,0.9125665658220913,0.8855532598052859,-0.03593096584175068,-0.4872104182591144,1.0363652984530205,1.6964659847367338,3.8343727794041618,0.4227570737448972,0.5772429262551028,0.5772429262551028,,0.1936747528612992,hybrid_growth_tqqq_attack_followup,ma60_half,"If QQQ closes below MA60, cut the computed TQQQ target ratio by 50% and send the rest to the idle asset.",CASH
